# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|  32|      14|      0|    0.07|  0.07|                 1|             14|             14|               9|     14|            11|         0.79|
|  33|      14|      0|    0.07|  0.06|                 1|             14|             16|               8|     14|            12|         0.86|
|  34|      20|      0|    0.05|  0.04|                 1|             20|             23|              16|     20|            17|         0.85|
|  35|      20|      0|    0.10|  0.10|                 2|             20|             21|               7|     20|            16|         0.80|
|  36|      14|      0|    0.07|  0.07|                 1|             14|             14|              10|     14|            13|         0.93|
|  37|      23|      0|    0.04|  0.04|                 1|             23|             25|              18|     23|            19|         0.83|
|  38|       3|      0|    0.67|  1.00|                 2|              3|              2|               0|      3|             2|         0.67|
|  39|       5|      0|    0.20|  0.20|                 1|              5|              5|               1|      5|             5|         1.00|
|  40|      23|      0|    0.04|  0.04|                 1|             23|             24|              17|     23|            19|         0.83|
|  41|      12|      0|    0.08|  0.08|                 1|             12|             12|               8|     12|            10|         0.83|
|  42|      43|      0|    0.05|  0.04|                 2|             43|             46|              34|     43|            40|         0.93|
|  43|      18|      0|    0.11|  0.11|                 2|             18|             19|               8|     18|            14|         0.78|
|  44|      16|      0|    0.06|  0.06|                 1|             16|             16|              10|     16|            12|         0.75|
|  45|      24|      0|    0.04|  0.04|                 1|             24|             23|              19|     24|            20|         0.83|
|  46|      31|      0|    0.03|  0.03|                 1|             31|             32|              16|     31|            27|         0.87|
|  47|       3|      0|    0.67|  0.50|                 2|              3|              4|               0|      3|             1|         0.33|
|  48|      14|      0|    0.07|  0.06|                 1|             14|             16|               6|     14|            11|         0.79|
|  49|      14|      0|    0.07|  0.08|                 1|             14|             13|              11|     14|            12|         0.86|
|  50|      19|      0|    0.05|  0.05|                 1|             19|             21|               6|     19|            18|         0.95|
|  51|      15|      0|    0.07|  0.06|                 1|             15|             18|              10|     15|            11|         0.73|
|  52|      20|      0|    0.05|  0.05|                 1|             20|             22|              14|     20|            17|         0.85|
|  53|      30|      0|    0.03|  0.03|                 1|             30|             33|              21|     30|            28|         0.93|
|  54|      45|      0|    0.02|  0.02|                 1|             45|             53|              36|     45|            40|         0.89|
|  55|      37|      0|    0.03|  0.02|                 1|             37|             43|              20|     37|            34|         0.92|
|  56|      30|      0|    0.03|  0.03|                 1|             30|             33|              22|     30|            27|         0.90|
|  57|      24|      0|    0.04|  0.04|                 1|             24|             26|              16|     24|            21|         0.88|
|  58|      10|      0|    0.10|  0.10|                 1|             10|             10|               4|     10|            10|         1.00|
|  59|       3|      0|    0.33|  0.25|                 1|              3|              4|               0|      3|             2|         0.67|
|  60|      13|      0|    0.08|  0.07|                 1|             13|             14|               7|     13|             8|         0.62|
|  61|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             1|         1.00|
|  62|      11|      0|    0.09|  0.09|                 1|             11|             11|               4|     11|             8|         0.73|
|  63|       5|      0|    0.20|  0.25|                 1|              5|              4|               0|      5|             4|         0.80|
|  64|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             2|         0.67|
|  65|       3|      0|    0.67|  1.00|                 2|              3|              2|               0|      3|             2|         0.67|
|  66|       7|      0|    0.29|  0.25|                 2|              7|              8|               3|      7|             7|         1.00|
|  67|       4|      0|    0.25|  0.17|                 1|              4|              6|               2|      4|             4|         1.00|
|  68|       6|      0|    0.17|  0.12|                 1|              6|              8|               0|      6|             3|         0.50|
|  69|      15|      0|    0.07|  0.07|                 1|             15|             15|               7|     15|            13|         0.87|
|  70|       5|      0|    0.40|  0.33|                 2|              5|              6|               1|      5|             3|         0.60|
|  71|      23|      0|    0.04|  0.04|                 1|             23|             24|              17|     23|            19|         0.83|
|  72|      18|      0|    0.06|  0.05|                 1|             18|             21|              11|     18|            16|         0.89|
|  73|      34|      0|    0.03|  0.03|                 1|             34|             40|              29|     34|            26|         0.76|
|  74|      33|      0|    0.03|  0.03|                 1|             33|             37|              27|     33|            24|         0.73|
|  75|      35|      0|    0.03|  0.03|                 1|             35|             37|              30|     35|            29|         0.83|
|  76|      10|      0|    0.10|  0.11|                 1|             10|              9|               6|     10|             7|         0.70|
|  77|      22|      0|    0.05|  0.05|                 1|             22|             21|              17|     22|            19|         0.86|
|  78|       2|      0|    0.50|  0.33|                 1|              2|              3|               0|      2|             1|         0.50|
|  79|      19|      0|    0.05|  0.05|                 1|             19|             20|              13|     19|            14|         0.74|
|  80|      15|      0|    0.07|  0.06|                 1|             15|             16|               9|     15|            11|         0.73|
|  81|      17|      0|    0.06|  0.06|                 1|             17|             17|              12|     17|            12|         0.71|
|  82|      16|      0|    0.06|  0.06|                 1|             16|             16|               6|     16|            13|         0.81|
|  83|       2|      0|    0.50|  0.33|                 1|              2|              3|               0|      2|             2|         1.00|
|  84|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             2|         0.67|
|  85|      11|      0|    0.09|  0.08|                 1|             11|             12|               4|     11|             9|         0.82|
|  86|       7|      0|    0.14|  0.12|                 1|              7|              8|               3|      7|             7|         1.00|
|  87|       5|      0|    0.20|  0.20|                 1|              5|              5|               1|      5|             5|         1.00|
|  88|       4|      0|    0.25|  0.25|                 1|              4|              4|               1|      4|             4|         1.00|
|  89|       4|      0|    0.25|  0.25|                 1|              4|              4|               0|      4|             3|         0.75|
|  90|       5|      0|    0.20|  0.17|                 1|              5|              6|               3|      5|             4|         0.80|
|  91|      50|      0|    0.02|  0.02|                 1|             50|             53|              41|     50|            43|         0.86|
|  92|      12|      0|    0.17|  0.18|                 2|             12|             11|               5|     12|             7|         0.58|
|  93|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             1|         1.00|
|  94|      30|      0|    0.03|  0.03|                 1|             30|             31|              21|     30|            22|         0.73|
|  95|      17|      0|    0.12|  0.11|                 2|             17|             18|               8|     17|            14|         0.82|
|  96|      37|      0|    0.08|  0.07|                 3|             37|             40|              26|     37|            30|         0.81|
|  97|      40|      0|    0.03|  0.02|                 1|             40|             44|              22|     40|            36|         0.90|
|  98|      35|      0|    0.03|  0.03|                 1|             35|             38|              27|     35|            31|         0.89|
|  99|      14|      0|    0.07|  0.08|                 1|             14|             13|               8|     14|            13|         0.93|
| 100|      25|      0|    0.04|  0.04|                 1|             25|             28|              21|     25|            22|         0.88|
| 101|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             1|         1.00|
| 102|      19|      0|    0.05|  0.05|                 1|             19|             22|              12|     19|            17|         0.89|
| 103|       3|      0|    0.33|  0.25|                 1|              3|              4|               0|      3|             3|         1.00|
| 104|       4|      0|    0.25|  0.20|                 1|              4|              5|               1|      4|             4|         1.00|
| 105|      17|      0|    0.12|  0.12|                 2|             17|             17|              11|     17|            13|         0.76|
| 106|       3|      0|    0.33|  0.25|                 1|              3|              4|               0|      3|             3|         1.00|
| 107|       8|      0|    0.12|  0.12|                 1|              8|              8|               5|      8|             7|         0.88|
| 108|       9|      0|    0.22|  0.22|                 2|              9|              9|               2|      9|             7|         0.78|
| 109|       9|      0|    0.11|  0.11|                 1|              9|              9|               2|      9|             7|         0.78|
| 110|       9|      0|    0.11|  0.10|                 1|              9|             10|               2|      9|             8|         0.89|
| 111|       8|      0|    0.12|  0.11|                 1|              8|              9|               1|      8|             7|         0.88|
| 112|      53|      0|    0.04|  0.03|                 2|             53|             62|              34|     53|            45|         0.85|
| 113|       8|      0|    0.12|  0.09|                 1|              8|             11|               3|      8|             8|         1.00|
| 114|       5|      0|    0.20|  0.20|                 1|              5|              5|               3|      5|             4|         0.80|
| 115|       5|      0|    0.20|  0.20|                 1|              5|              5|               1|      5|             5|         1.00|
| 116|       5|      0|    0.40|  0.40|                 2|              5|              5|               2|      5|             5|         1.00|
| 117|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             0|         0.00|
| 118|       3|      0|    0.33|  0.25|                 1|              3|              4|               1|      3|             3|         1.00|
| 119|      31|      0|    0.03|  0.03|                 1|             31|             32|              24|     31|            22|         0.71|
| 120|      44|      0|    0.02|  0.02|                 1|             44|             46|              32|     44|            35|         0.80|
| 121|      27|      0|    0.04|  0.04|                 1|             27|             28|              20|     27|            22|         0.81|
| 122|       3|      0|    0.67|  0.50|                 2|              3|              4|               0|      3|             2|         0.67|
| 123|      48|      0|    0.02|  0.02|                 1|             48|             51|              38|     48|            35|         0.73|
| 124|      55|      0|    0.02|  0.02|                 1|             55|             63|              37|     55|            45|         0.82|
| 125|      22|      0|    0.09|  0.08|                 2|             22|             25|              14|     22|            17|         0.77|
| 126|       2|      0|    0.50|  0.50|                 1|              2|              2|               0|      2|             1|         0.50|
| 127|       8|      0|    0.12|  0.14|                 1|              8|              7|               2|      8|             5|         0.62|
| 128|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             1|         1.00|
| 129|       5|      0|    0.20|  0.25|                 1|              5|              4|               1|      5|             2|         0.40|
| 130|       5|      0|    0.20|  0.25|                 1|              5|              4|               3|      5|             2|         0.40|
| 131|       8|      0|    0.12|  0.12|                 1|              8|              8|               3|      8|             7|         0.88|
| 132|      10|      0|    0.10|  0.10|                 1|             10|             10|               7|     10|             6|         0.60|
| 133|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             1|         0.33|
| 134|       8|      0|    0.12|  0.12|                 1|              8|              8|               3|      8|             7|         0.88|
| 135|       4|      0|    0.25|  0.33|                 1|              4|              3|               1|      4|             1|         0.25|
| 136|       8|      0|    0.12|  0.12|                 1|              8|              8|               3|      8|             7|         0.88|
| 137|       2|      0|    0.50|  0.50|                 1|              2|              2|               0|      2|             1|         0.50|
| 138|       8|      0|    0.12|  0.12|                 1|              8|              8|               3|      8|             7|         0.88|
| 139|      13|      0|    0.08|  0.08|                 1|             13|             13|               8|     13|             8|         0.62|
| 140|       8|      0|    0.12|  0.12|                 1|              8|              8|               3|      8|             7|         0.88|
| 141|       5|      0|    0.20|  0.25|                 1|              5|              4|               1|      5|             2|         0.40|
| 142|      19|      0|    0.05|  0.05|                 1|             19|             20|              15|     19|            11|         0.58|
| 143|       5|      0|    0.20|  0.25|                 1|              5|              4|               1|      5|             2|         0.40|
| 144|      29|      0|    0.03|  0.03|                 1|             29|             32|              19|     29|            26|         0.90|
| 145|      23|      0|    0.04|  0.04|                 1|             23|             25|              20|     23|            21|         0.91|
| 146|      22|      0|    0.05|  0.05|                 1|             22|             22|              13|     22|            13|         0.59|
| 147|      22|      0|    0.05|  0.04|                 1|             22|             23|              16|     22|            15|         0.68|
| 148|       9|      0|    0.11|  0.10|                 1|              9|             10|               6|      9|             8|         0.89|
| 149|       4|      0|    0.25|  0.25|                 1|              4|              4|               0|      4|             3|         0.75|
| 150|       3|      0|    0.33|  0.25|                 1|              3|              4|               0|      3|             3|         1.00|
| 151|      32|      0|    0.06|  0.05|                 2|             32|             37|              21|     32|            27|         0.84|
| 152|       5|      0|    0.20|  0.17|                 1|              5|              6|               1|      5|             4|         0.80|
| 153|      35|      0|    0.03|  0.03|                 1|             35|             36|              29|     35|            28|         0.80|
| 154|      67|      0|    0.03|  0.03|                 2|             67|             74|              52|     67|            50|         0.75|
| 155|      17|      0|    0.06|  0.05|                 1|             17|             19|              13|     17|            11|         0.65|
| 156|      10|      0|    0.10|  0.10|                 1|             10|             10|               6|     10|             7|         0.70|
| 157|       1|      0|    1.00|  0.50|                 1|              1|              2|               0|      1|             1|         1.00|
| 158|      23|      0|    0.04|  0.04|                 1|             23|             24|               7|     23|            17|         0.74|
| 159|      27|      0|    0.04|  0.03|                 1|             27|             29|              10|     27|            25|         0.93|
| 160|       2|      0|    0.50|  0.33|                 1|              2|              3|               0|      2|             1|         0.50|
| 161|      27|      0|    0.04|  0.03|                 1|             27|             30|              18|     27|            25|         0.93|
| 162|      19|      0|    0.05|  0.05|                 1|             19|             22|               8|     19|            15|         0.79|
| 163|      17|      0|    0.06|  0.05|                 1|             17|             20|               9|     17|            15|         0.88|
| 164|      20|      0|    0.05|  0.05|                 1|             20|             22|              17|     20|            13|         0.65|
| 165|      13|      0|    0.08|  0.07|                 1|             13|             14|              10|     13|            12|         0.92|
| 166|       3|      0|    0.33|  0.25|                 1|              3|              4|               0|      3|             1|         0.33|
| 167|       4|      0|    0.25|  0.20|                 1|              4|              5|               0|      4|             2|         0.50|
| 168|       4|      0|    0.25|  0.20|                 1|              4|              5|               0|      4|             2|         0.50|
| 169|       5|      0|    0.40|  0.50|                 2|              5|              4|               1|      5|             3|         0.60|
| 170|      10|      0|    0.10|  0.10|                 1|             10|             10|               3|     10|            10|         1.00|
| 171|       6|      0|    0.17|  0.14|                 1|              6|              7|               1|      6|             4|         0.67|
| 172|       3|      0|    0.33|  0.33|                 1|              3|              3|               0|      3|             2|         0.67|
| 173|       3|      0|    0.33|  0.50|                 1|              3|              2|               0|      3|             2|         0.67|
| 174|       3|      0|    0.67|  0.67|                 2|              3|              3|               0|      3|             3|         1.00|

=================================================================================================================================================
Number of sentence:	175.00
Number of Error sentence:	0.00
Number of Skip  sentence:	0.00
Number of Valid sentence:	175.00
Bracketing Recall:	7.30
Bracketing Precision:	6.75
Bracketing FMeasure:	7.01
Complete match:	0.00
Average crossing:	10.17
No crossing:	21.71
Tagging accuracy:	82.24
